acc_val,acc_test,acc_test_groupmean,n_grp_train,n_grp_val,n_grp_test,n_win_train,n_win_test,level,rep
0.9468728984532616,0.9896960329726945,0.956923076923077,391,130,130,4618,1941,job,5068
0.9619565217391305,0.9429634221946683,0.9074935897435897,391,130,130,4593,1613,job,5069
0.9788566953797964,0.9808481532147743,0.9446153846153847,391,130,130,5307,1462,job,5070
0.9862768496420048,0.9815789473684211,0.9514423076923076,391,130,130,4850,1520,job,5071
0.9499349804941483,0.9777777777777777,0.9264102564102564,391,130,130,4798,1710,job,5072
0.9904191616766467,0.9774881516587678,0.9469230769230769,391,130,130,4688,1688,job,5073
0.9753539590980598,0.9451754385964912,0.9170833333333334,391,130,130,4771,1368,job,5074
0.9455362156092083,0.9947368421052631,0.9761538461538461,391,130,130,4555,1710,job,5075
0.9759836484414921,0.9183006535947712,0.9259935897435897,391,130,130,4559,1530,job,5076
0.9373508353221957,0.9694348327566321,0.9279807692307693,391,130,130,4636,1734,job,5077
0.987136086662153,0.967741935483871,0.93625,391,130,130,4988,1581,job,5078
0.9744444444444444,0.9786683904330963,0.9534615384615385,391,130,130,4699,1547,job,5079
0.9186176142697882,0.9554896142433235,0.9661538461538461,391,130,130,4904,1348,job,5080
0.9688436189334931,0.9817518248175182,0.9561538461538462,391,130,130,4733,1644,job,5081
0.9586206896551724,0.9632786885245902,0.9243269230769231,391,130,130,4926,1525,job,5082
0.985968699406368,0.9587706146926537,0.9092307692307693,391,130,130,4859,1334,job,5083
0.9730603448275862,0.9285232636547539,0.9572115384615385,391,130,130,4707,1483,job,5084
0.944877171959257,0.9694167852062588,0.9566666666666668,391,130,130,4971,1406,job,5085
0.9569471624266145,0.9637362637362638,0.9559294871794871,391,130,130,4693,1820,job,5086
0.9467956469165659,0.9555349698934692,0.9406456043956044,391,130,130,4233,2159,job,5087
0.984092155787164,0.9694323144104804,0.9400000000000001,391,130,130,4620,1603,job,5088
0.9882932840418978,0.9688947716743879,0.9412820512820513,391,130,130,4912,1511,job,5089
0.9473684210526315,0.9796450939457203,0.9422435897435898,391,130,130,4591,1916,job,5090
0.9883720930232558,0.9896083133493205,0.9687179487179487,391,130,130,5075,1251,job,5091
0.9845463609172482,0.9746600741656366,0.9542857142857143,391,130,130,4422,1618,job,5092
0.9852861035422343,0.966542750929368,0.9235897435897436,391,130,130,4597,1614,job,5093
0.9201706276660573,0.9622395833333334,0.9310897435897435,391,130,130,4869,1536,job,5094
0.9830007390983001,0.988155668358714,0.9838461538461539,391,130,130,4920,1773,job,5095
0.877602844083291,0.9473015873015873,0.9275641025641026,391,130,130,4502,1575,job,5096
0.9871873093349604,0.9678188319427891,0.9292307692307692,391,130,130,4729,1678,job,5097
0.941566265060241,0.9621026894865525,0.9353846153846155,391,130,130,4750,1636,job,5098
0.9450980392156862,0.9683680805176133,0.9286858974358975,391,130,130,5125,1391,job,5099
0.9244363193174894,0.9080157687253614,0.9393406593406594,391,130,130,4883,1522,job,5100
0.9921259842519685,0.9895995839833593,0.9361538461538462,391,130,130,4853,1923,job,5101
0.9891857506361323,0.9788208357183743,0.9221153846153847,391,130,130,4727,1747,job,5102
0.9463576158940398,0.9721485411140584,0.97,391,130,130,5028,1508,job,5103
0.962874251497006,0.9534583063994829,0.9307692307692308,391,130,130,4829,1547,job,5104
0.9303370786516854,0.9534028203556101,0.9320512820512821,391,130,130,4635,1631,job,5105
0.98625,0.9795053003533569,0.9638461538461539,391,130,130,5031,1415,job,5106
0.9791183294663574,0.9642616318273769,0.9090384615384615,391,130,130,4408,1483,job,5107
0.9430950728660652,0.9343065693430657,0.9193269230769231,391,130,130,4824,1781,job,5108
0.9605757196495619,0.9599322799097065,0.9350961538461539,391,130,130,4676,1772,job,5109
