family,cls,mean_score,n,cond
fsdp_tp_32b,training,0.9998816094920644,42,hz50_w64
pp_train_70b,training,0.9999502928585775,42,hz50_w64
moe_train,training,0.78571837883743,42,hz50_w64
diloco_13b,training,0.6395103213192003,42,hz50_w64
gradacc_32b,training,0.9999993081565977,42,hz50_w64
pp_serve_70b,serving,0.302511122438552,42,hz50_w64
pp_serve_32b,serving,0.003921772549395476,42,hz50_w64
moe_serve,serving,0.9272389762271447,42,hz50_w64
disagg_70b,serving,0.00011503332410505208,42,hz50_w64
coloc_70b,serving,0.045014688402338535,42,hz50_w64
ddp_7b,training,1.0,42,hz50_w32
fsdp_tp_70b,training,0.9999355930627696,42,hz50_w32
fsdp_tp_32b,training,0.9999305727484407,42,hz50_w32
pp_train_70b,training,0.999923165675303,42,hz50_w32
moe_train,training,0.2778724068223331,42,hz50_w32
diloco_13b,training,0.6429747878319609,42,hz50_w32
gradacc_32b,training,1.0,42,hz50_w32
pp_serve_70b,serving,0.23627420523369713,42,hz50_w32
pp_serve_32b,serving,0.2275581323575096,42,hz50_w32
moe_serve,serving,0.8414333865800925,42,hz50_w32
disagg_70b,serving,0.0025782153976487963,42,hz50_w32
coloc_70b,serving,0.012243315740511573,42,hz50_w32
ddp_7b,training,1.3911816907300598e-05,42,skew0.0ms
fsdp_tp_70b,training,0.9999952753079521,42,skew0.0ms
fsdp_tp_32b,training,0.9997791154223241,42,skew0.0ms
pp_train_70b,training,0.9995626955094342,42,skew0.0ms
moe_train,training,0.5317605049814099,42,skew0.0ms
diloco_13b,training,0.6433117954745152,42,skew0.0ms
gradacc_32b,training,0.9816389835134659,42,skew0.0ms
pp_serve_70b,serving,0.4072131467216413,42,skew0.0ms
pp_serve_32b,serving,0.0012919062694618415,42,skew0.0ms
moe_serve,serving,0.9504061502106835,42,skew0.0ms
disagg_70b,serving,3.8283060933461306e-05,42,skew0.0ms
coloc_70b,serving,0.07641034205499546,42,skew0.0ms
ddp_7b,training,6.161798535476929e-06,42,skew1.0ms
fsdp_tp_70b,training,0.9999952884503099,42,skew1.0ms
fsdp_tp_32b,training,0.999778993909189,42,skew1.0ms
pp_train_70b,training,0.9995624710049914,42,skew1.0ms
moe_train,training,0.531865080856296,42,skew1.0ms
diloco_13b,training,0.6433120354831261,42,skew1.0ms
gradacc_32b,training,0.9815849821851037,42,skew1.0ms
pp_serve_70b,serving,0.4070993817624017,42,skew1.0ms
pp_serve_32b,serving,0.001291689068807149,42,skew1.0ms
moe_serve,serving,0.9504172922387506,42,skew1.0ms
disagg_70b,serving,3.826901456478547e-05,42,skew1.0ms
coloc_70b,serving,0.07644643770409065,42,skew1.0ms
ddp_7b,training,0.0004320504827925832,42,skew10.0ms
fsdp_tp_70b,training,0.9999956810916315,42,skew10.0ms
fsdp_tp_32b,training,0.999774663184373,42,skew10.0ms
pp_train_70b,training,0.9995502127660837,42,skew10.0ms
moe_train,training,0.5315687576899566,42,skew10.0ms
diloco_13b,training,0.643314327523767,42,skew10.0ms
gradacc_32b,training,0.9817577176004678,42,skew10.0ms
pp_serve_70b,serving,0.40590043849278873,42,skew10.0ms
pp_serve_32b,serving,0.0012924298950714587,42,skew10.0ms
moe_serve,serving,0.9509291652689892,42,skew10.0ms
disagg_70b,serving,3.9337144002152785e-05,42,skew10.0ms
coloc_70b,serving,0.07556870047271287,42,skew10.0ms
ddp_7b,training,1.0,42,skew100.0ms
fsdp_tp_70b,training,0.9999995726391804,42,skew100.0ms
fsdp_tp_32b,training,0.9992177239981481,42,skew100.0ms
pp_train_70b,training,0.9983635700845392,42,skew100.0ms
moe_train,training,0.4116522295206048,42,skew100.0ms
diloco_13b,training,0.6432978233379865,42,skew100.0ms
gradacc_32b,training,0.9880429352779878,42,skew100.0ms
pp_serve_70b,serving,0.42841196283353483,42,skew100.0ms
pp_serve_32b,serving,0.0034094086755202184,42,skew100.0ms
moe_serve,serving,0.990941785231224,42,skew100.0ms
disagg_70b,serving,9.892123887674367e-05,42,skew100.0ms
coloc_70b,serving,0.055122176693872475,42,skew100.0ms
ddp_7b,training,0.0001681600157636662,42,skew1000.0ms
fsdp_tp_70b,training,0.9999890722743549,42,skew1000.0ms
fsdp_tp_32b,training,0.9989121616766623,42,skew1000.0ms
pp_train_70b,training,0.994594425183813,42,skew1000.0ms
moe_train,training,0.3916926803760648,42,skew1000.0ms
diloco_13b,training,0.6432698989496393,42,skew1000.0ms
gradacc_32b,training,0.9473489214021258,42,skew1000.0ms
pp_serve_70b,serving,0.4254692930330596,42,skew1000.0ms
pp_serve_32b,serving,0.003554134170279271,42,skew1000.0ms
moe_serve,serving,0.9888913948312421,42,skew1000.0ms
disagg_70b,serving,9.561887774952715e-05,42,skew1000.0ms
coloc_70b,serving,0.05515675432155923,42,skew1000.0ms
ddp_7b,training,0.9992480431785602,42,read0us
fsdp_tp_70b,training,0.9999953553548037,42,read0us
fsdp_tp_32b,training,0.9997835140219845,42,read0us
pp_train_70b,training,0.9995540909145013,42,read0us
moe_train,training,0.5336962669082189,42,read0us
diloco_13b,training,0.6433161713631231,42,read0us
gradacc_32b,training,0.9832619276423028,42,read0us
pp_serve_70b,serving,0.40564146703201953,42,read0us
pp_serve_32b,serving,0.0012872622490431277,42,read0us
moe_serve,serving,0.9500499567828025,42,read0us
disagg_70b,serving,4.001009937815251e-05,42,read0us
coloc_70b,serving,0.07862951337898424,42,read0us
ddp_7b,training,1.0,42,read100us
fsdp_tp_70b,training,0.9999953421958736,42,read100us
fsdp_tp_32b,training,0.9997756900007071,42,read100us
pp_train_70b,training,0.9995630115768565,42,read100us
moe_train,training,0.5309417542514986,42,read100us
diloco_13b,training,0.643309548722742,42,read100us
gradacc_32b,training,0.9814932658962657,42,read100us
pp_serve_70b,serving,0.40872158446736057,42,read100us
pp_serve_32b,serving,0.0012705580774203052,42,read100us
moe_serve,serving,0.9509491013262126,42,read100us
disagg_70b,serving,3.770537570345477e-05,42,read100us
coloc_70b,serving,0.07657219305575351,42,read100us
ddp_7b,training,1.0,42,read1000us
fsdp_tp_70b,training,0.9999959605161027,42,read1000us
fsdp_tp_32b,training,0.9997569639526354,42,read1000us
pp_train_70b,training,0.9995044689386409,42,read1000us
moe_train,training,0.509814318789733,42,read1000us
diloco_13b,training,0.6432728155429098,42,read1000us
gradacc_32b,training,0.8574632232703501,42,read1000us
pp_serve_70b,serving,0.43724650211158816,42,read1000us
pp_serve_32b,serving,0.001212722409036701,42,read1000us
moe_serve,serving,0.9578285013991616,42,read1000us
disagg_70b,serving,2.6107232910967513e-05,42,read1000us
coloc_70b,serving,0.03622346840727889,42,read1000us
ddp_7b,training,0.9667546366057184,42,read10000us
fsdp_tp_70b,training,0.9999568502070799,42,read10000us
fsdp_tp_32b,training,0.9995949866896904,42,read10000us
pp_train_70b,training,0.999162766008516,42,read10000us
moe_train,training,0.6103861265997159,42,read10000us
diloco_13b,training,0.6433198979773413,42,read10000us
gradacc_32b,training,0.6963198495726156,42,read10000us
pp_serve_70b,serving,0.36700249470486174,42,read10000us
pp_serve_32b,serving,0.0020569125703492224,42,read10000us
moe_serve,serving,0.9219081318722482,42,read10000us
disagg_70b,serving,3.3626401787516135e-06,42,read10000us
coloc_70b,serving,0.0001878165456099234,42,read10000us
